1832,EXHAUSTED,LOW
1843,AVAILABLE,LOW
1845,AVAILABLE,LOW
1847,EXHAUSTED,LOW
1848,AVAILABLE,LOW
1850,AVAILABLE,MEDIUM
1854,AVAILABLE,LOW
1856,AVAILABLE,LOW
1857,AVAILABLE,LOW
1858,AVAILABLE,LOW
1859,AVAILABLE,LOW
1860,AVAILABLE,LOW
1862,AVAILABLE,LOW
1863,AVAILABLE,LOW
1864,AVAILABLE,LOW
1865,AVAILABLE,LOW
1870,AVAILABLE,HIGH
1872,AVAILABLE,LOW
1878,AVAILABLE,LOW
1901,AVAILABLE,LOW
1903,AVAILABLE,LOW
1904,AVAILABLE,LOW
1906,AVAILABLE,LOW
1907,UNAVAILABLE,LOW
1908,AVAILABLE,HIGH
1909,AVAILABLE,LOW
1910,AVAILABLE,MEDIUM
1912,AVAILABLE,LOW
1913,AVAILABLE,LOW
1914,AVAILABLE,LOW
1915,AVAILABLE,LOW
1916,AVAILABLE,LOW
1917,EXHAUSTED,HIGH
1918,AVAILABLE,LOW
1919,EXHAUSTED,LOW
1920,AVAILABLE,LOW
1925,AVAILABLE,LOW
1928,AVAILABLE,MEDIUM
1929,AVAILABLE,LOW
1930,AVAILABLE,LOW
1931,AVAILABLE,LOW
1936,AVAILABLE,LOW
1937,AVAILABLE,LOW
1938,AVAILABLE,LOW
1940,AVAILABLE,LOW
1941,AVAILABLE,LOW
1947,AVAILABLE,LOW
1949,AVAILABLE,LOW
1951,AVAILABLE,LOW
1952,AVAILABLE,HIGH
1954,AVAILABLE,HIGH
1956,AVAILABLE,LOW
1959,AVAILABLE,MEDIUM
1970,AVAILABLE,LOW
1971,AVAILABLE,LOW
1972,EXHAUSTED,HIGH
1973,EXHAUSTED,LOW
1978,AVAILABLE,LOW
1979,AVAILABLE,LOW
1980,AVAILABLE,LOW
1984,AVAILABLE,MEDIUM
1985,AVAILABLE,LOW
1989,AVAILABLE,LOW
1204,EXHAUSTED,MEDIUM
1226,AVAILABLE,LOW
1236,AVAILABLE,LOW
1249,AVAILABLE,LOW
1250,EXHAUSTED,HIGH
1289,AVAILABLE,LOW
1306,EXHAUSTED,MEDIUM
1343,AVAILABLE,LOW
1365,AVAILABLE,LOW
1403,EXHAUSTED,HIGH
1416,EXHAUSTED,HIGH
1418,EXHAUSTED,HIGH
1431,AVAILABLE,LOW
1437,AVAILABLE,HIGH
1438,AVAILABLE,LOW
1450,AVAILABLE,LOW
1506,AVAILABLE,LOW
1514,EXHAUSTED,MEDIUM
1519,EXHAUSTED,HIGH
